Epoch,tp,fp,tn,fn,p,r,fsc,m,Time
1,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,36.6
2,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,108.64
3,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,139.64
4,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,170.59
5,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,201.15
6,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,231.36
7,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,261.18
8,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,291.42
9,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,321.97
10,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,352.49
11,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,382.95
12,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,415.14
13,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,445.13
14,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,475.81
15,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,506.92
16,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,537.97
17,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,568.22
18,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,598.26
19,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,628.48
20,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,659.16
21,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,690.35
22,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,720.53
23,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,751.26
24,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,782.42
25,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,813.12
26,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,843.49
27,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,874.14
28,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,905.44
29,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,935.5
30,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,967.21
31,476062,417872,3038,4282,0.5325471455387086,0.9910855553519977,0.6928176104107029,0.9918779833432084,997.53
32,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1027.91
33,480335,420906,4,9,0.5329706482505789,0.9999812634278767,0.6953390489908331,0.9999855756534783,1057.34
34,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1087.88
35,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1118.46
36,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1149.44
37,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1180.57
38,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1211.73
39,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1241.77
40,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1272.37
41,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1303.26
42,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1332.97
43,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1365.51
44,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1397.63
45,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1431.76
46,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1463.51
47,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1495.43
48,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1526.8
49,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1558.09
50,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1589.57
51,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1620.79
52,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1651.96
53,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1682.89
54,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1713.85
55,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1744.98
56,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1775.69
57,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1805.97
58,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1837.11
59,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1867.58
60,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1899.12
61,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1929.81
62,480279,420833,77,65,0.5329848010014293,0.9998646803124428,0.695322905687912,0.9998424417533792,1961.02
63,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,1991.94
64,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2022.92
65,480344,420908,2,0,0.5329741293223205,1.0,0.6953465412465004,0.9999977808697659,2054.92
66,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2085.43
67,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2117.13
68,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2147.63
69,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2178.48
70,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2209.45
71,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2242.62
72,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2272.85
73,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2304.22
74,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2335.37
75,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2366.82
76,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2398.27
77,480151,420715,195,193,0.5329882579651136,0.9995982046200224,0.6952614012351489,0.9995694887345854,2429.74
78,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2460.51
79,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2491.85
80,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2522.42
81,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2553.56
82,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2584.89
83,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2616.23
84,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2647.78
85,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2678.48
86,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2709.31
87,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2740.62
88,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,2775.61
89,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,2806.21
90,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,2837.23
91,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,2868.76
92,480342,420910,0,2,0.5329719101871618,0.9999958363173059,0.6953436460441402,0.9999977808697659,2899.88
93,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,2930.69
94,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,2961.82
95,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,2992.29
96,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,3023.4
97,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,3054.27
98,479935,420518,392,409,0.532992838049293,0.9991485268890629,0.695156492952983,0.9991112383412445,3084.58
99,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,3115.2
100,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,3146.06
101,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,3176.63
102,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,3207.01
103,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,3238.48
104,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,3268.84
105,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,3299.81
106,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,3330.38
107,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,3361.39
108,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,3392.54
109,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,3423.78
110,473174,411532,9378,7170,0.5348375618567072,0.9850731975417617,0.6932698435954727,0.9816389164430893,3455.03
111,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,3486.15
112,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,3517.35
113,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,3548.26
114,480328,420906,4,16,0.5329670207737391,0.9999666905384474,0.6953324387041485,0.9999778086976591,3579.79
115,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,3610.71
116,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,3641.58
117,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,3672.21
118,473148,411422,9488,7196,0.5348903987248042,0.9850190696667388,0.6933008233485772,0.9814880155871708,3706.18
119,466619,402251,18659,13725,0.5370412144509535,0.9714267275119498,0.6916901247689395,0.9640678432495168,3737.25
120,472745,412014,8896,7599,0.5343206455091161,0.9841800876038839,0.6926144034552704,0.9816977233942928,3768.23
121,471308,406336,14574,9036,0.5370150083633,0.9811884815881952,0.6941268995013211,0.9738031675864961,3799.21
122,476633,408848,12062,3711,0.5382758071601762,0.9922742867611545,0.6979415371661816,0.9824988294088015,3830.25
123,470800,404242,16668,9544,0.5380313173539099,0.9801309061839015,0.6947098464939139,0.9709160791519372,3862.38
124,467191,402507,18403,13153,0.5371876214502046,0.9726175407624535,0.6921132824015847,0.9649865631664325,3892.73
125,478148,414805,6105,2196,0.5354682721263045,0.995428276401912,0.6963504616991082,0.9907894999633844,3923.18
126,459642,404371,16539,20702,0.5319850511508507,0.9569017204336892,0.6838094345475199,0.9586786854760145,3954.38
127,478264,419316,1594,2080,0.5328371844292431,0.995669769998168,0.6941805208414978,0.9959234577599656,3984.81
128,480344,420910,0,0,0.5329729465833162,1.0,0.6953455346634839,1.0,4019.55
129,480342,420908,2,2,0.532973092926491,0.9999958363173059,0.69534465262588,0.9999955617395319,4051.62
130,480343,420910,0,1,0.5329724283858139,0.999997918158653,0.6953445903544955,0.999998890434883,4081.35
131,474934,418093,2817,5410,0.531824905629953,0.9887372383125427,0.691632486778882,0.9908716077820459,4111.81
132,476161,418643,2267,4183,0.5321399993741647,0.9912916576453542,0.6925232774944953,0.9928433049950403,4150.37
133,480159,420820,90,185,0.5329302902731362,0.9996148593507986,0.6952161080355573,0.9996948695928118,4186.44
134,478652,414502,6408,1692,0.535912059958305,0.9964775244408174,0.6969824491917717,0.991012522551911,4217.47
135,474354,412661,8249,5990,0.5347756238620542,0.9875297703312625,0.6938251037218462,0.9842009022983532,4248.27
136,467100,402219,18691,13244,0.5373171413485729,0.9724280931998734,0.6921727868364178,0.9645660379870713,4278.8
137,478617,414345,6565,1727,0.5359880935582925,0.9964046599936712,0.6970289214494074,0.9907994860494378,4310.24
138,473207,411598,9312,7137,0.534815015737931,0.9851418983062139,0.6932679143448811,0.9817487633896771,4341.36
139,468398,408001,12909,11946,0.5344574788423994,0.9751303232683244,0.6904741723377233,0.9724217590157713,4372.49
140,474802,412204,8706,5542,0.5352861198233158,0.9884624352547341,0.6944849526456284,0.9841909162122997,4403.81
141,475803,414804,6106,4541,0.5342457447561045,0.9905463584431158,0.6941210882081125,0.9881864601987896,4434.99
142,468455,408064,12846,11889,0.5344493388049775,0.9752489882251053,0.6904971246175922,0.9725549068298172,4466.06
143,473408,411277,9633,6936,0.5351147583603203,0.9855603484169678,0.6936233589176493,0.9816156155756313,4497.4
144,471752,404916,15994,8592,0.5381193336588082,0.9821128191462785,0.6952805133631833,0.9727202320322573,4527.79
145,468580,408109,12801,11764,0.534488284899206,0.9755092183934847,0.6905948492041092,0.9727435328997153,4558.13
146,480336,420906,4,8,0.5329711664569561,0.9999833452692237,0.6953399933120341,0.9999866852185955,4588.6
147,473683,412216,8694,6661,0.5346918779680302,0.9861328547874023,0.6934095911195886,0.9829626276277276,4620.24
148,468402,408013,12897,11942,0.5344522857322159,0.9751386506337125,0.690471926112154,0.9724395120576441,4651.43
149,477318,411345,9565,3026,0.5371192454282444,0.9937003480838732,0.6973200283124921,0.9860294656112484,4682.05
150,471188,406078,14832,9156,0.5371096109959806,0.980938660626551,0.6941433843298148,0.973383751972252,4713.09
151,463749,404537,16373,16595,0.5340970601852385,0.9654518428459604,0.6877334776773466,0.9634198572211607,4746.6
152,473862,410924,9986,6482,0.5355667924221225,0.9865055043885216,0.6942371788767371,0.9817276816524532,4778.13
153,466525,405864,15046,13819,0.5347671738181018,0.9712310344253285,0.6897517839810221,0.9679724028964087,4809.34
154,467163,408763,12147,13181,0.5333361494007485,0.9725592492047366,0.688893804330996,0.9718969347154076,4840.61
155,465663,410500,10410,14681,0.5314798730373229,0.9694364871841846,0.6865618828358424,0.972159901648148,4871.55
156,469556,411529,9381,10788,0.5329292860507215,0.9775410955481905,0.6897987335366002,0.9776211811542584,4902.6
157,472903,411401,9509,7441,0.5347742405326675,0.9845090185367154,0.6930768960200726,0.9811928712660359,4933.91
158,473878,410887,10023,6466,0.5355975880601064,0.9865388138500741,0.6942712999474768,0.9817043807849951,4966.08
159,466313,405516,15394,14031,0.5348675026868801,0.9707896840597572,0.6897238740900756,0.9673510464308619,4997.26
160,473411,411279,9631,6933,0.5351151250720592,0.985566593941009,0.6936252137309401,0.9816211634012165,5027.69
161,465982,403945,16965,14362,0.5356564401380806,0.9701005945738888,0.6902051514103466,0.9652406535782365,5057.93
162,473397,411268,9642,6947,0.5351144218432966,0.9855374481621505,0.6936174047204083,0.9815934242732903,5088.2
163,454145,397451,23459,26199,0.5332869106947425,0.9454578385490399,0.6819301169722359,0.9449012154176292,5118.75
164,478523,414364,6546,1821,0.5359278385730781,0.99620896690705,0.6969300867807383,0.9907162686656592,5148.95
165,462914,402305,18605,17430,0.5350252363852389,0.9637135053211865,0.6880599421952002,0.9600168210071744,5179.42
166,473299,411763,9147,7045,0.5347636662742271,0.9853334277101411,0.6932721842441003,0.9820339216247584,5210.0
167,477371,419152,1758,2973,0.5324693287288781,0.9938106856752661,0.6934162849425543,0.9947506474312457,5240.48
168,473169,411514,9396,7175,0.5348458148285883,0.9850627883350266,0.6932741989718885,0.9816133964453972,5270.88
169,468425,408020,12890,11919,0.5344602342417379,0.9751865329846943,0.690490562644597,0.9724727990111556,5301.67
170,480339,420910,0,5,0.5329703555843058,0.9999895907932649,0.6953408131048725,0.9999944521744147,5332.21
171,461026,399153,21757,19318,0.5359651886409689,0.9597829888579851,0.6878300484213996,0.9544246128172524,5362.97
172,459383,399261,21649,20961,0.53500985274456,0.9563625235248072,0.6861644764553528,0.9527214303625837,5392.9
173,468495,408128,12782,11849,0.5344315629409678,0.9753322618789867,0.690503158883009,0.9726703016019901,5423.18
174,470531,409358,11552,9813,0.5347617710870348,0.9795708908615492,0.6918388246719497,0.976294141274269,5453.56
175,473941,411234,9676,6403,0.5354206795266473,0.9866699698549373,0.6941551161133606,0.9821593024829848,5484.2
176,460883,399931,20979,19461,0.5354036992892773,0.9594852855453592,0.6872911319919055,0.9551291866665779,5515.12
177,467576,407925,12985,12768,0.534066780049366,0.9734190496810619,0.6897189575504575,0.9714253695406623,5545.45
178,470389,408966,11944,9955,0.5349250302778741,0.9792752693902703,0.691901663529943,0.9757016335017653,5576.0
179,466249,402015,18895,14095,0.5369899016888873,0.970656446213547,0.6914522233295368,0.9633954467885857,5606.61
180,463912,405672,15238,16432,0.5334872766748239,0.965791182985527,0.6873136937673713,0.964860072743089,5637.05
181,462634,403079,17831,17710,0.5343965032291302,0.9631305897440168,0.6873913957581291,0.9605649461749962,5667.04
182,462804,405507,15403,17540,0.53299336297709,0.9634845027730127,0.6863193329650651,0.9634475963490869,5697.3
183,453123,390168,30742,27221,0.5373269725397283,0.9433301966923705,0.6846645789813657,0.9356862771205454,5728.13
184,475497,418494,2416,4847,0.5318811934348332,0.9899093149909232,0.6919666602393157,0.9919412285548802,5758.64
185,456794,395268,25642,23550,0.536104180212238,0.9509726362773345,0.6856678820119393,0.9454182727621736,5789.52
186,471622,404813,16097,8722,0.5381140643630161,0.981842179771164,0.6952082837367028,0.972461703359985,5819.96
187,461666,399216,21694,18678,0.5362709407328763,0.9611153673200873,0.6884238748726911,0.9552046370945372,5851.38
188,468469,408153,12757,11875,0.5344025132839468,0.9752781340039638,0.6904653469578456,0.9726691920368731,5881.66
189,454268,389709,31201,26076,0.5382468953537833,0.9457139050347251,0.6860391098532757,0.9364474387908404,5911.63
190,468754,408644,12266,11590,0.53425469399292,0.9758714587878687,0.6904905350206446,0.9735302145677024,5941.67
191,462587,406124,14786,17757,0.5324981495572175,0.9630327432007062,0.6857941299650496,0.9638914223959062,5971.9
192,472263,410911,9999,8081,0.5347338123631357,0.9831766400746131,0.6927125274473824,0.9799390626837717,6001.99
193,456918,405293,15617,23426,0.529937567486381,0.9512307846043668,0.6806693208099482,0.956679249135094,6032.06
194,477267,419101,1809,3077,0.5324453795762455,0.9935941741751745,0.6933432700521243,0.9945786648381033,6062.55
195,470380,414670,6240,9964,0.5314727981469973,0.979256532818147,0.6890025882639004,0.9820206068433538,6093.07
196,463151,406035,14875,17193,0.532856028514035,0.9642069017204337,0.6863885945477315,0.9644184658265039,6123.55
197,470520,405543,15367,9824,0.5370846617195338,0.9795479906067318,0.6937740663384957,0.9720489451364432,6153.78
198,454888,397503,23407,25456,0.5336611953903784,0.9470046466698866,0.6826383339523611,0.9457833196856824,6184.29
199,473323,410404,10506,7021,0.5355986633881278,0.9853833919024699,0.6939858702369598,0.9805526521934993,6214.84
200,453242,396665,24245,27102,0.5332842299216267,0.9435779358126676,0.6814383150247584,0.9430271599349351,6245.74
201,471227,409405,11505,9117,0.5351009275156933,0.9810198524390853,0.6924839233021008,0.9771185481562357,6276.19
202,462556,399747,21163,17788,0.5364193328795098,0.9629682061189481,0.6890210159483467,0.9567813291258624,6306.71
203,470298,408741,12169,10046,0.535013804848249,0.9790858218276901,0.6919286176154917,0.9753510109247782,6337.47
